time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450700000	12.7064	20.9777	4.87179	2.99843	0.577581	lidar	1.84869	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4552	21.0178	4.89054	3.02658	0.578714	radar	2.58883	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2081	21.0553	4.90157	3.05117	0.573711	lidar	0.165099	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9697	21.075	4.89858	3.08237	0.582038	radar	0.934722	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7252	21.0464	4.8832	3.12599	0.59805	lidar	1.86417	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4783	21.0329	4.88255	3.16131	0.604205	radar	1.07181	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2598	21.0273	4.84974	3.18971	0.603516	lidar	0.671611	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0062	20.9886	4.85949	3.22924	0.613598	radar	4.12896	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7932	20.9511	4.81825	3.26457	0.62023	lidar	0.581551	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5447	20.951	4.81276	3.26807	0.565871	radar	5.65518	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2674	20.9778	4.87516	3.27213	0.53701	lidar	3.40586	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0283	20.9596	4.87198	3.29084	0.525446	radar	1.01982	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83081	20.9213	4.81434	3.31842	0.528892	lidar	1.68641	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59463	20.914	4.79139	3.31502	0.472446	radar	2.3262	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39892	20.8622	4.73763	3.34392	0.479864	lidar	1.12533	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.1758	20.8213	4.72831	3.36572	0.479285	radar	1.49847	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88882	20.7886	4.80528	3.37671	0.463017	lidar	2.0852	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67246	20.7095	4.78738	3.41136	0.479413	radar	4.48169	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40066	20.6249	4.8452	3.43863	0.481491	lidar	2.73643	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1721	20.5446	4.84797	3.46817	0.491676	radar	0.107561	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93107	20.4645	4.86478	3.49126	0.48961	lidar	0.124738	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71501	20.3779	4.86522	3.5252	0.512771	radar	3.51249	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41238	20.3197	4.96263	3.52719	0.484263	lidar	3.54872	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18161	20.2227	4.96231	3.54973	0.479549	radar	0.219046	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91856	20.1406	5.00603	3.56128	0.464774	lidar	0.770228	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69375	20.0487	4.99388	3.57732	0.452563	radar	0.457168	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44569	19.9581	5.01899	3.5899	0.440933	lidar	0.37959	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22891	19.8642	5.00412	3.6074	0.437043	radar	2.80972	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96685	19.7715	5.04831	3.61439	0.419712	lidar	0.896503	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74083	19.6248	5.08099	3.65496	0.455662	radar	2.04025	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55932	19.5026	5.03033	3.68307	0.462663	lidar	1.24458	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
